id;identificador;nombre;descripcion;activo
1;beside personalise certainly;if;helplessly lyre atop;true
2;the frightfully;bobble;boo;true
3;blah inwardly;lively;even aha;false
4;gee meanwhile;incidentally;lawful nicely igloo;true
5;rubric unhealthy;whether rare;even along for;true
6;huzzah unfreeze than;masquerade ha;beside famously lest;false
7;oof;unimpressively after;while;true
8;gosh given;quizzically barring amidst;pinion fold ack;true
9;strident apologise eek;to;owlishly which boo;false
10;overload readily;consequently rarely make;that;false
