id;identificador;tipo;tamanio;cantidad;tiempo_minutos;fecha_realizacion;responsable;observaciones;pedido_id
1;next incidentally mispronounce;CONTENEDOR;EXTRA_GRANDE;16374;5382;2026-03-23;righteously astride gee;that clamp;1
2;doting unfortunately onto;OTRO;EXTRA_GRANDE;11900;16352;2026-03-23;on;worldly damaged christen;2
3;sheepishly char;PALLET;GRANDE;19955;30269;2026-03-23;cute ack inasmuch;generally;3
4;keenly;OTRO;MEDIANO;25093;28587;2026-03-23;definitive concentration frightened;transom sarong;4
5;reference square utter;BOLSA;PEQUENO;19305;7660;2026-03-22;ick moist step;neatly ack;5
6;huff likely save;BOLSA;MEDIANO;4786;22790;2026-03-23;accept kooky;faithfully midst;6
7;thankfully wrongly poetry;OTRO;MEDIANO;13850;12687;2026-03-23;utterly bliss;overcook poorly before;7
8;lava ah indeed;OTRO;GRANDE;10184;14417;2026-03-23;exactly reconstitute;suddenly react except;8
9;into crooked;CONTENEDOR;MEDIANO;14328;4029;2026-03-23;provided fervently;once why;9
10;tag loosely;PALLET;EXTRA_GRANDE;17150;19620;2026-03-22;midst;although ew;10
