id;identificador;lote;cantidad;fecha_realizacion;ubicacion;responsable;observaciones;pedido_id
1;mmm;finally aw;13668;2026-03-23;joyfully despite provided;meanwhile;outfox orchid unless;1
2;pure;angrily sturdy;25600;2026-03-23;ugh;even apud advanced;silk materialise when;2
3;internalize hollow;supplier tentacle;16330;2026-03-22;limited but since;gee gadzooks finally;pendant when messy;3
4;depot;hawk meh medium;14799;2026-03-22;huzzah that along;ugh entice;until why;4
5;blah precious;hepatitis;20250;2026-03-23;tribe;testify ugh;oof against;5
6;beside but deploy;cuckoo hm sham;18180;2026-03-23;tempting especially ew;catalyze lightly broadcast;whenever coagulate how;6
7;netsuke;accompanist silently language;17066;2026-03-22;once;aw steak aha;or conjecture;7
8;makeover switchboard;unsightly cruelty yowza;5913;2026-03-23;gah sleet fidget;provided;valiantly geez vaguely;8
9;plain antelope;homely accredit;22350;2026-03-23;wasteful once;monocle unique quick-witted;inasmuch;9
10;warmly;hence towards spew;6752;2026-03-23;table despite abseil;smoothly when if;produce;10
