id;identificador;fecha_entrada;fecha_salida;estado;cliente_id
1;than atop behind;2026-03-25;2026-03-25;energetic failing tattered;1
2;cleverly mockingly;2026-03-25;2026-03-25;epic;2
3;gymnast glittering;2026-03-25;2026-03-25;impish;3
4;easily alive countess;2026-03-25;2026-03-25;quit failing where;4
5;unnaturally;2026-03-25;2026-03-25;fully testimonial fruitful;5
6;impish;2026-03-25;2026-03-25;militate loftily concrete;6
7;homeschool slink pillow;2026-03-25;2026-03-25;flint justly;7
8;psst expense;2026-03-25;2026-03-25;jiggle except;8
9;pfft;2026-03-25;2026-03-25;sophisticated gosh than;9
10;valuable bitter patiently;2026-03-25;2026-03-25;exactly like;10
