id;identificador;nombre;descripcion;fecha_elaboracion;lote;cantidad;unidad_medida
1;actual square openly;furthermore unless nor;lack emphasize diligently;2026-03-26;brr pish out;32275;till even
2;quinoa anti;separate;awareness;2026-03-26;imagineer wring;16584;properly whoa concre
3;yellowish furiously;vice unblinking breakable;poorly above councilman;2026-03-26;holster recklessly;22126;ugh since
4;rarely instead so;delete psst fooey;newsstand;2026-03-26;creamy highly;26146;ack meh
5;crystallize override oof;soybean modulo majestically;restaurant;2026-03-26;reproachfully cheerful after;4661;jacket
6;bah through;tomorrow;including;2026-03-26;authentic roughly pop;12633;across pleased spook
7;any within;what;aha spook;2026-03-26;canter ouch;19735;intrigue
8;over foolhardy;brr;clamp which;2026-03-26;frivolous bruised;15317;pluck blissfully
9;wherever conservation next;outstanding;as safe;2026-03-26;boohoo glow tapioca;26681;humble
10;anti;shout;pile;2026-03-26;yahoo;28029;option until boohoo
