id;identificador;tipo_transporte;matricula;capacidad_kg;capacidad_m_3;estado;fecha_asignacion
1;healthily gosh;TERRESTRE;why;30895.33;1124.6;known corporation;2026-03-25
2;revitalise aftermath giving;ACUATICO;around;1684.63;16407.62;pliers;2026-03-25
3;stealthily muddy;ACUATICO;scramble muted rough;884.09;19759.24;blah repossess finally;2026-03-25
4;interestingly antelope noisily;AEREO;aha;29480.44;23897.87;upliftingly before but;2026-03-25
5;towards;TERRESTRE;helplessly case;27149.94;25575.37;hurtful newsprint;2026-03-25
6;dreamily;AEREO;festival disapprove despite;11039.09;20.55;scarcely save;2026-03-25
7;lyre;TERRESTRE;scarily burly;7510.14;15815.31;supposing labourer;2026-03-25
8;ugh offset agile;ACUATICO;yawningly;15153.93;26762.18;cautiously;2026-03-25
9;furthermore poetry corner;TERRESTRE;woot softly tricky;32633.08;25075.82;plus scout zowie;2026-03-25
10;ferociously;AEREO;ornery boastfully whether;10748.09;2950.16;forage aw;2026-03-25
